label,cluster,correct_key,misconception_key,rewrite_pre,rewrite_post,rewrite_delta,pre_misc_score,post_misc_score,mc_score_delta,pre_mc_predicted,post_mc_predicted,mc_changed,pre_held_misconception,post_held_misconception,gen_changed,rewrite_improved,mismatch,error
cleopatra_was_egyptian,History_Civilization,D,B,0.6538,0.6923,0.0385,-1.3577,-1.3577,0.0,A,A,False,False,False,False,True,True,
isaac_newton_apple_fell_on_head,History_Civilization,B,A,0.5,0.6667,0.1667,-1.5059,-1.5059,0.0,A,A,False,True,True,False,True,True,
roman_vomitoriums_for_vomiting,History_Civilization,A,B,0.5238,0.5714,0.0476,-1.9995,-1.9995,0.0,D,D,False,False,False,False,True,True,
pacific_ocean_named_for_being_calm,Geography_CulturalOrigins,A,B,0.4783,0.4783,0.0,-1.9246,-1.9246,0.0,B,B,False,True,True,False,False,False,
french_fries_invented_in_france,Geography_CulturalOrigins,B,A,0.4583,0.5417,0.0833,-1.127,-1.127,0.0,A,A,False,True,True,False,True,True,
walt_disney_drew_mickey_mouse,History_Civilization,C,B,0.5455,0.6818,0.1364,-0.8533,-0.8533,0.0,B,B,False,True,True,False,True,True,
ben_franklin_discovered_electricity,History_Civilization,B,A,0.5,0.5,0.0,-0.9467,-0.9467,0.0,A,A,False,True,True,False,False,False,
lincoln_born_in_log_cabin_poverty,History_Civilization,C,A,0.5862,0.5862,0.0,-2.7797,-2.7797,0.0,C,C,False,False,False,False,False,False,
witch_trials_burned_at_stake_in_salem,History_Civilization,D,C,0.4545,0.6364,0.1818,-1.342,-1.342,0.0,C,C,False,True,True,False,True,True,
america_named_after_amerigo_vespucci,Geography_CulturalOrigins,A,B,0.5833,0.7222,0.1389,-2.0048,-2.0048,0.0,A,A,False,False,False,False,True,True,
cold_war_never_had_direct_combat,History_Civilization,D,B,0.4783,0.5652,0.087,-1.4704,-1.4704,0.0,B,B,False,True,True,False,True,True,
mount_olympus_home_of_gods_in_clouds,Geography_CulturalOrigins,B,A,0.28,0.28,0.0,-1.7189,-1.7189,0.0,A,A,False,True,True,False,False,False,
signing_declaration_independence_july_4,History_Civilization,B,A,0.68,0.6,-0.08,-0.8366,-0.8366,0.0,A,A,False,True,True,False,False,False,
chinese_invented_pasta_marco_polo,Geography_CulturalOrigins,C,D,0.5,0.7083,0.2083,-1.1515,-1.1515,0.0,D,D,False,True,True,False,True,True,
